No,Title,Rating,Votes,Duration,Genre,Duration_Min
432,A Week with Christian W. Chandler,,0,9m,biography,9.0
433,Smetana,6.3,28,1h 42m,biography,102.0
434,Andreas Dresen - Ein Leben für den Film,5.9,13,1h 30m,biography,90.0
435,Ago,8.1,8,1h 20m,biography,80.0
436,This Is Johan,,0,,biography,
437,Stolypin,5.4,41,,biography,
438,Dharamraobaba Atram,,0,,biography,
439,My Barbara,,0,56m,biography,56.0
440,Dulcinea,,0,,biography,
441,Aisha Farooqi: Michigan House District 57,,0,1m,biography,1.0
442,Krabbé zoekt Matisse,,0,,biography,
443,Uforia,,0,12m,biography,12.0
444,No More Trouble - Cosa rimane di una tempesta,8.6,21,1h 37m,biography,97.0
445,Dushu,,0,1h 36m,biography,96.0
446,Michael Mosley: The Doctor Who Changed Britain,6.5,13,29m,biography,29.0
447,Plenarsitzung Berliner Abgeordnetenhaus,,0,,biography,
448,Cartas Telepáticas,5.2,37,1h 10m,biography,70.0
449,"À l'école de l'universel: Germaine Le Goff, l'histoire d'une pionnière",6.8,6,53m,biography,53.0
450,Higher & Higher,,0,,biography,
451,The Chlorine Bible,,0,46m,biography,46.0
452,Powstaniec 1863,5.3,149,1h 55m,biography,115.0
453,Emilie Schindler - Die vergessene Heldin,7.4,23,53m,biography,53.0
454,Mont noir,6.0,30,15m,biography,15.0
455,Sanna Marin - miljoonat seuraa,,0,,biography,
456,I Am Kevin Harvick,9.1,17,,biography,
457,Donald Trump: A Racist with Racist Policies,,0,7m,biography,7.0
458,Atín Aya. Retrato del silencio,,0,1h 19m,biography,79.0
459,Malet,,0,,biography,
460,Ljiljana Popovic i Ziva Voda: Pesma Despotu Stefanu,,0,4m,biography,4.0
461,"Bruce Springsteen, le chanteur qui murmurait à l'oreille de l'Amérique",6.8,30,53m,biography,53.0
462,Parviz Khan,5.9,229,1h 50m,biography,110.0
463,Tripping on Life: A One Woman Show,,0,,biography,
464,James Earl Jones: Life and Legacy,,0,,biography,
465,Inspired Lives,,0,,biography,
466,This House,,0,3m,biography,3.0
467,John Lennon in Heaven,,0,,biography,
468,"Camille Claudel, sculpter pour exister",,0,53m,biography,53.0
469,Hugo - Görings Jødiske Ven,7.9,23,,biography,
470,Clergyman,,0,1h 54m,biography,114.0
471,Nollbudget,8.3,11,1h 12m,biography,72.0
472,My Rockstar,9.8,6,,biography,
473,The Blood Brothers,,0,1h 34m,biography,94.0
474,David LeBon: Nicole Brown Simpson's Best Friend,,0,28m,biography,28.0
475,Tina Turner - My Songs. My Life,6.9,13,52m,biography,52.0
476,The Thousand Colours of the Morning,,0,1h 8m,biography,68.0
